,query,intent
0,백령도 추가 배송비면 기본 2500원추가 3000원 총 5500원이 배송비인가요 ?,6
1,제주도도 선료 있나요 ?,6
2,얼마 이상 무배인가요 ?,6
3,8/16일요일까진 데 반납은 착불로 보내나요 ?,6
4,배송료 134800원 결재 후배송비를 따로 지불해야 하는 건가요 ?,6
5,"방금 전에 물건받았는데요배송비가 2 , 500원 아닌가요 ?",6
6,제주도 추가 배송비 있나요 ?,6
7,"11월 28일 물건 사이즈 확인 답변이 제대로 되지 않아 판매처에 직접 전화해 출고 전 취소했는데 ,  왜 왕복 배송비 5000원 차감했습니까 ?",6
8,"빠른 배송 상품으로 주문했는데 제가 빠른 배송회원인데 왜 반송비 5 , 000원이 차감되서 환불될까요 ?",6
9,CAS 온습도계 TE 303 이랑 CAS체 중계 HE68 같이 구매할려고 하는데 왜 배송비가 묶음이 안 되나요 ?,6
10,4개 구매하면 무료 배송인 걸로 아는데 4개 주문하려는 데 배송비 2500원이 추가되네요 배송비 추가가 맞는 건가요 ?,6
11,배송비요킥보드는 무료 배송이 고핼 멧을 유료배송인데 한 박스에 같이 오면 당연히 무료 배송이 되야 맞는 게 아닐까요 ?,6
12,제주 추가배송비 있나여 ?,6
13,가질러 가면 배송비가 없나요 ?,6
14,제주도도 무료 배송인가요 ?,6
15,무료 배송 아닌가요 ?,6
16,결제할 때 배송비까지 결제가 되었는데 추가 비용을 왜 또 보내달라는 건지요 ?,6
17,제주도 무료배송인데 제주도 추가 비용 정말 8000원인가요 ?,6
18,제주도 추가 배송비가 어떻게 되져 ?,6
19,택배비는 누가 내는 거죠 ?,6
20,배송비 문의 드려요 며칠 전에 2세트해서 무료 배송 받았는데 이제 무조건 착 불인가요 ?,6
21,제주도 무료배송인가요 ?,6
22,섬 지역도 선료 따로 받나요 ?,6
23,무료 배송 금액은 얼마인가요 ?,6
24,세벌시켰으니까 무료 배송이지요 ?,6
25,2만원이 넘으면 배송비 안내는 것 맞죠 ?,6
26,31일에 주문했는데 아직 회수 문자가 없어서요회수할 때 4천원 배송비는 어떻게 지불해야 하나요 ?,6
27,왕복 배송비 무료 면 반납할 때도 무료 맞죠 ?,6
28,얼마부터 배송비 무료인가요 ?,6
29,배송비 추가 보냈는데 왜 한 개만 보냈나요 ?,6
